registration_no,aircraft_model,manufacturer,serial_number,operator_code,operator_name,manufacture_date,delivery_date,seat_config_f,seat_config_c,seat_config_y,total_seats,max_range_nm,cruise_speed_kts,engine_type,engine_count,mtow_kg,current_status,home_base,last_c_check,next_c_check
HL7551,A321,Airbus,7892,LJ,Jin Air,2017-02-10,2017-03-18,0,0,195,195,3200,447,CFM56-5B3,2,93500,ACTIVE,ICN,2023-07-25,2024-07-25
HL7552,A321,Airbus,7926,LJ,Jin Air,2017-05-22,2017-06-28,0,0,195,195,3200,447,CFM56-5B3,2,93500,ACTIVE,ICN,2023-08-30,2024-08-30
HL7553,A321,Airbus,7958,LJ,Jin Air,2017-08-15,2017-09-22,0,0,195,195,3200,447,CFM56-5B3,2,93500,ACTIVE,ICN,2023-09-15,2024-09-15
HL7554,A321,Airbus,8105,LJ,Jin Air,2018-01-18,2018-02-25,0,0,195,195,3200,447,CFM56-5B3,2,93500,ACTIVE,ICN,2023-10-28,2024-10-28
HL7555,A321,Airbus,8152,LJ,Jin Air,2018-04-22,2018-05-30,0,0,195,195,3200,447,CFM56-5B3,2,93500,ACTIVE,ICN,2023-11-12,2024-11-12
HL7556,A321,Airbus,8198,LJ,Jin Air,2018-07-28,2018-09-05,0,0,195,195,3200,447,CFM56-5B3,2,93500,ACTIVE,ICN,2023-12-05,2024-12-05
HL7701,A330-200,Airbus,1125,TW,T way Air,2010-06-15,2010-07-22,0,24,206,230,7250,470,CF6-80E1A3,2,233000,ACTIVE,ICN,2023-06-18,2024-06-18
HL7702,A330-200,Airbus,1158,TW,T way Air,2010-10-08,2010-11-15,0,24,206,230,7250,470,CF6-80E1A3,2,233000,ACTIVE,ICN,2023-07-22,2024-07-22
HL7703,A321,Airbus,6785,TW,T way Air,2015-09-12,2015-10-20,0,0,195,195,3200,447,CFM56-5B3,2,93500,ACTIVE,ICN,2023-08-28,2024-08-28
HL7704,A321,Airbus,6842,TW,T way Air,2016-01-25,2016-03-02,0,0,195,195,3200,447,CFM56-5B3,2,93500,ACTIVE,ICN,2023-09-30,2024-09-30
HL7705,A321,Airbus,6898,TW,T way Air,2016-05-18,2016-06-25,0,0,195,195,3200,447,CFM56-5B3,2,93500,GROUNDED,ICN,2023-10-25,2024-10-25
HL7851,B737-800,Boeing,39816,ZE,Eastar Jet,2013-02-15,2013-03-22,0,0,189,189,2935,453,CFM56-7B26,2,79016,ACTIVE,ICN,2023-05-10,2024-05-10
HL7852,B737-800,Boeing,39817,ZE,Eastar Jet,2013-05-28,2013-07-05,0,0,189,189,2935,453,CFM56-7B26,2,79016,ACTIVE,ICN,2023-06-15,2024-06-15
HL7853,B737-800,Boeing,39818,ZE,Eastar Jet,2013-08-22,2013-09-28,0,0,189,189,2935,453,CFM56-7B26,2,79016,ACTIVE,ICN,2023-07-20,2024-07-20
HL7854,B737-800,Boeing,42152,ZE,Eastar Jet,2015-11-10,2015-12-18,0,0,189,189,2935,453,CFM56-7B26,2,79016,ACTIVE,ICN,2023-08-25,2024-08-25
HL7855,B737-800,Boeing,42153,ZE,Eastar Jet,2016-02-25,2016-04-02,0,0,189,189,2935,453,CFM56-7B26,2,79016,ACTIVE,ICN,2023-09-08,2024-09-08
HL7856,B737-800,Boeing,42154,ZE,Eastar Jet,2016-06-15,2016-07-22,0,0,189,189,2935,453,CFM56-7B26,2,79016,ACTIVE,ICN,2023-10-15,2024-10-15
