maintenance_id,aircraft_reg,aircraft_type,airline,maintenance_type,scheduled_date,actual_start,actual_end,mechanic_id,supervisor_id,work_order_no,findings,parts_replaced,labor_hours,parts_cost_usd,status,next_scheduled_maintenance,hangar_bay
MNT014,HL8255,A330-300,OZ,B_CHECK,2024-01-08,2024-01-08 00:00:00,2024-01-12 00:00:00,EMP019,EMP017,WO-2024-0014,Airframe inspection;Control surface check,AILERON_ACTUATOR_1;ELEVATOR_BEARING_2,96.0,45000,COMPLETED,2024-04-08,BAY_C1
MNT015,HL8301,A330-200,OZ,LINE_CHECK,2024-01-19,2024-01-19 02:00:00,2024-01-19 05:00:00,EMP022,EMP018,WO-2024-0015,Auxiliary power unit check passed,,3.0,0,COMPLETED,2024-01-26,BAY_C2
MNT016,HL7781,B737-800,7C,LINE_CHECK,2024-01-15,2024-01-15 05:30:00,2024-01-15 08:00:00,EMP021,EMP018,WO-2024-0016,Tire replacement,MAIN_TIRE_2,2.5,4000,COMPLETED,2024-01-22,BAY_D1
MNT017,HL7782,B737-800,7C,TRANSIT_CHECK,2024-01-16,2024-01-16 04:00:00,2024-01-16 05:30:00,EMP020,EMP018,WO-2024-0017,No issues found,,1.5,0,COMPLETED,2024-01-17,APRON_22
MNT018,HL7783,B737-800,7C,A_CHECK,2024-01-18,2024-01-18 08:00:00,2024-01-19 20:00:00,EMP019,EMP018,WO-2024-0018,Landing light replaced;APU check,LANDING_LIGHT_2,36.0,3200,COMPLETED,2024-02-18,BAY_D2
MNT019,HL7784,B737-800,7C,TRANSIT_CHECK,2024-01-17,2024-01-17 06:00:00,2024-01-17 07:30:00,EMP022,EMP018,WO-2024-0019,Cabin air filter replaced,CABIN_FILTER_4,1.5,600,COMPLETED,2024-01-18,APRON_25
MNT020,HL7785,B737-800,7C,LINE_CHECK,2024-01-19,2024-01-19 03:00:00,2024-01-19 06:00:00,EMP021,EMP018,WO-2024-0020,Brake system inspection passed,,3.0,0,COMPLETED,2024-01-26,BAY_D3
MNT021,HL7551,A321,LJ,TRANSIT_CHECK,2024-01-15,2024-01-15 06:00:00,2024-01-15 07:30:00,EMP020,EMP018,WO-2024-0021,No issues found,,1.5,0,COMPLETED,2024-01-16,APRON_30
MNT022,HL7552,A321,LJ,LINE_CHECK,2024-01-16,2024-01-16 05:00:00,2024-01-16 08:00:00,EMP019,EMP018,WO-2024-0022,Weather radar calibration,RADAR_MODULE_1,3.0,5500,COMPLETED,2024-01-23,BAY_D4
MNT023,HL7553,A321,LJ,TRANSIT_CHECK,2024-01-17,2024-01-17 07:00:00,2024-01-17 08:30:00,EMP022,EMP018,WO-2024-0023,Lavatory system check passed,,1.5,0,COMPLETED,2024-01-18,APRON_28
MNT024,HL7554,A321,LJ,A_CHECK,2024-01-13,2024-01-13 00:00:00,2024-01-15 12:00:00,EMP021,EMP018,WO-2024-0024,Fuel tank inspection;Wing de-ice check,FUEL_TANK_SEAL_2;DEICE_VALVE_1,60.0,12000,COMPLETED,2024-02-13,BAY_E1
MNT025,HL7555,A321,LJ,LINE_CHECK,2024-01-18,2024-01-18 04:00:00,2024-01-18 07:00:00,EMP020,EMP018,WO-2024-0025,Emergency slide inspection passed,,3.0,0,COMPLETED,2024-01-25,BAY_E2
MNT026,HL7701,A330-200,TW,LINE_CHECK,2024-01-15,2024-01-15 04:00:00,2024-01-15 07:00:00,EMP019,EMP018,WO-2024-0026,Oxygen system check passed,,3.0,0,COMPLETED,2024-01-22,BAY_E3
MNT027,HL7702,A330-200,TW,TRANSIT_CHECK,2024-01-16,2024-01-16 06:00:00,2024-01-16 07:30:00,EMP022,EMP018,WO-2024-0027,No issues found,,1.5,0,COMPLETED,2024-01-17,APRON_18
MNT028,HL7703,A321,TW,LINE_CHECK,2024-01-17,2024-01-17 03:00:00,2024-01-17 06:00:00,EMP021,EMP018,WO-2024-0028,Cockpit window heating element replaced,WINDOW_HEATER_1,3.0,4200,COMPLETED,2024-01-24,BAY_E4
MNT029,HL7704,A321,TW,TRANSIT_CHECK,2024-01-18,2024-01-18 06:30:00,2024-01-18 08:00:00,EMP020,EMP018,WO-2024-0029,Cabin pressure test passed,,1.5,0,COMPLETED,2024-01-19,APRON_20
MNT030,HL7851,B737-800,ZE,LINE_CHECK,2024-01-15,2024-01-15 07:00:00,2024-01-15 10:00:00,EMP019,EMP018,WO-2024-0030,Engine oil top-up,ENGINE_OIL_2L,3.0,150,COMPLETED,2024-01-22,BAY_F1
MNT031,HL7852,B737-800,ZE,TRANSIT_CHECK,2024-01-16,2024-01-16 08:00:00,2024-01-16 09:30:00,EMP022,EMP018,WO-2024-0031,No issues found,,1.5,0,COMPLETED,2024-01-17,APRON_35
MNT032,HL7853,B737-800,ZE,B_CHECK,2024-01-01,2024-01-01 00:00:00,2024-01-05 00:00:00,EMP021,EMP017,WO-2024-0032,Comprehensive inspection;Landing gear service,LANDING_GEAR_BEARING_4;BRAKE_DISC_4,96.0,38000,COMPLETED,2024-04-01,BAY_F2
MNT033,HL7854,B737-800,ZE,LINE_CHECK,2024-01-18,2024-01-18 03:00:00,2024-01-18 06:00:00,EMP020,EMP018,WO-2024-0033,Anti-collision light replaced,BEACON_LIGHT_1,3.0,850,COMPLETED,2024-01-25,BAY_F3
MNT034,HL7855,B737-800,ZE,TRANSIT_CHECK,2024-01-19,2024-01-19 05:00:00,2024-01-19 06:30:00,EMP019,EMP018,WO-2024-0034,No issues found,,1.5,0,COMPLETED,2024-01-20,APRON_33
MNT035,HL7463,B777-300ER,KE,ENGINE_INSPECTION,2024-01-20,2024-01-20 00:00:00,,EMP020,EMP017,WO-2024-0035,Scheduled engine borescope inspection,,0.0,0,IN_PROGRESS,2024-04-20,BAY_A1
MNT036,HL8213,B787-9,OZ,AVIONICS_UPDATE,2024-01-20,2024-01-20 01:00:00,,EMP021,EMP018,WO-2024-0036,Flight management system update,,0.0,0,IN_PROGRESS,2024-07-20,BAY_B1
MNT037,HL7786,B737-800,7C,UNSCHEDULED,2024-01-20,2024-01-20 08:00:00,,EMP019,EMP018,WO-2024-0037,Reported vibration during taxi;Engine inspection required,,0.0,0,IN_PROGRESS,,BAY_D1
MNT038,HL7556,A321,LJ,LINE_CHECK,2024-01-20,2024-01-20 05:00:00,,EMP022,EMP018,WO-2024-0038,Standard pre-flight inspection,,0.0,0,IN_PROGRESS,2024-01-27,BAY_E1
MNT039,HL7705,A321,TW,GROUNDED,2024-01-19,2024-01-19 22:00:00,,EMP020,EMP017,WO-2024-0039,Hydraulic system failure;Aircraft grounded pending repair,,0.0,0,PENDING_PARTS,,BAY_E4
MNT040,HL7856,B737-800,ZE,LINE_CHECK,2024-01-20,2024-01-20 06:00:00,,EMP021,EMP018,WO-2024-0040,Standard pre-flight inspection,,0.0,0,IN_PROGRESS,2024-01-27,BAY_F1
