id,order_id,customer_id,customer_name,origin_city,origin_country,destination_city,destination_country,carrier,shipping_method,weight_kg,volume_cbm,item_category,item_count,order_date,ship_date,delivery_date,delivery_days,status,tracking_number,warehouse_id,warehouse_name,cost_usd,insurance_value_usd,customs_fee_usd,is_fragile,is_hazardous,temperature_controlled,damage_reported,delay_reason
11,ORD-10011,C301,글로벌무역,Seoul,KR,London,GB,FedEx,Air,67.8,0.55,Electronics,20,2025-01-12,2025-01-13,2025-01-16,3,Delivered,TRK-KK10011,WH-ICN01,인천공항물류센터,1580.00,8000.00,420.00,Yes,No,No,No,
12,ORD-10012,C311,수산물수출,Busan,KR,Osaka,JP,Panstar,Sea,1500.0,8.00,Food,30,2025-01-13,2025-01-14,2025-01-16,2,Delivered,TRK-LL10012,WH-PUS02,부산냉장물류센터,1200.00,6000.00,350.00,No,No,Yes,No,
13,ORD-10013,C312,코스메틱월드,Seoul,KR,Bangkok,TH,Korean_Air_Cargo,Air,88.0,0.72,Cosmetics,300,2025-01-14,2025-01-15,2025-01-16,1,Delivered,TRK-MM10013,WH-ICN01,인천공항물류센터,680.00,4500.00,280.00,Yes,No,No,No,
14,ORD-10014,C305,현대부품,Ulsan,KR,Mumbai,IN,HMM,Sea,4100.0,22.00,Auto_Parts,150,2025-01-15,2025-01-18,2025-02-04,17,Delivered,TRK-NN10014,WH-ULS01,울산항물류센터,3600.00,20000.00,980.00,No,No,No,No,
15,ORD-10015,C313,의료기기수출,Wonju,KR,Dubai,AE,Emirates_SkyCargo,Air,15.5,0.12,Medical_Device,5,2025-01-16,2025-01-17,2025-01-19,2,Delivered,TRK-OO10015,WH-ICN02,인천바이오물류센터,1800.00,30000.00,450.00,Yes,No,Yes,No,
16,ORD-10016,C314,철강무역,Pohang,KR,Hanoi,VN,Sinokor,Sea,12000.0,55.00,Steel,10,2025-01-17,2025-01-20,2025-01-27,7,Delivered,TRK-PP10016,WH-PUS01,부산항물류센터,2800.00,40000.00,700.00,No,No,No,No,
17,ORD-10017,C302,한진상사,Busan,KR,Rotterdam,NL,Maersk,Sea,6500.0,35.00,Raw_Material,3,2025-01-18,2025-01-21,2025-02-15,25,Delayed,TRK-QQ10017,WH-PUS01,부산항물류센터,5200.00,28000.00,1400.00,No,No,No,No,Port_Congestion
18,ORD-10018,C315,K뷰티,Seoul,KR,New_York,US,UPS,Air,42.0,0.35,Cosmetics,200,2025-01-19,2025-01-20,2025-01-23,3,Delivered,TRK-RR10018,WH-ICN01,인천공항물류센터,1100.00,6000.00,380.00,No,No,No,No,
19,ORD-10019,C307,삼성바이오,Incheon,KR,Zurich,CH,Swiss_WorldCargo,Air,18.0,0.10,Pharmaceutical,12,2025-01-20,2025-01-20,2025-01-22,2,Delivered,TRK-SS10019,WH-ICN02,인천바이오물류센터,2600.00,65000.00,520.00,Yes,No,Yes,No,
20,ORD-10020,C316,전자부품,Gumi,KR,Shenzhen,CN,Asiana_Cargo,Air,28.5,0.20,Electronics,50,2025-01-21,2025-01-22,2025-01-23,1,Delivered,TRK-TT10020,WH-ICN01,인천공항물류센터,520.00,15000.00,180.00,Yes,No,No,No,
21,ORD-10021,C304,농산물직거래,Gimpo,KR,Hong_Kong,HK,Cathay_Cargo,Air,180.0,1.60,Food,40,2025-01-22,2025-01-23,2025-01-24,1,Delivered,TRK-UU10021,WH-GMP01,김포냉장물류센터,1500.00,5000.00,320.00,No,No,Yes,No,
22,ORD-10022,C308,화학소재,Yeosu,KR,Hamburg,DE,Hapag_Lloyd,Sea,9500.0,48.00,Chemical,8,2025-01-23,2025-01-26,2025-02-22,27,Delivered,TRK-VV10022,WH-YOS01,여수항물류센터,7500.00,42000.00,2100.00,No,Yes,No,No,
23,ORD-10023,C310,반도체코리아,Pyeongtaek,KR,San_Jose,US,FedEx,Air,5.8,0.04,Semiconductor,200,2025-01-24,2025-01-24,2025-01-27,3,Delivered,TRK-WW10023,WH-ICN01,인천공항물류센터,680.00,120000.00,350.00,Yes,No,Yes,No,
24,ORD-10024,C317,목재수출,Donghae,KR,Melbourne,AU,PIL,Sea,7800.0,65.00,Timber,20,2025-01-25,2025-01-28,2025-02-18,21,Delivered,TRK-XX10024,WH-PUS01,부산항물류센터,4200.00,15000.00,880.00,No,No,No,No,
25,ORD-10025,C306,패션코리아,Seoul,KR,Milan,IT,DHL,Air,95.0,0.90,Textile,400,2025-01-26,2025-01-27,2025-01-30,3,Delivered,TRK-YY10025,WH-ICN01,인천공항물류센터,1650.00,10000.00,550.00,No,No,No,No,
26,ORD-10026,C313,의료기기수출,Wonju,KR,Riyadh,SA,Saudia_Cargo,Air,32.0,0.25,Medical_Device,10,2025-01-27,2025-01-28,2025-01-30,2,Delivered,TRK-ZZ10026,WH-ICN02,인천바이오물류센터,2400.00,45000.00,600.00,Yes,No,Yes,No,
27,ORD-10027,C318,배터리수출,Ochang,KR,Berlin,DE,Korean_Air_Cargo,Air,450.0,3.00,Battery,100,2025-01-28,2025-01-29,2025-02-01,3,Delivered,TRK-AAA10027,WH-ICN01,인천공항물류센터,3800.00,60000.00,780.00,No,Yes,Yes,No,
28,ORD-10028,C311,수산물수출,Busan,KR,Los_Angeles,US,Evergreen,Sea,2200.0,12.00,Food,25,2025-01-29,2025-02-01,2025-02-18,17,Delivered,TRK-BBB10028,WH-PUS02,부산냉장물류센터,3400.00,10000.00,920.00,No,No,Yes,Yes,Temperature_Breach
29,ORD-10029,C303,테크솔루션,Incheon,KR,Hanoi,VN,VietJet_Cargo,Air,12.0,0.08,Electronics,8,2025-01-30,2025-01-31,2025-02-01,1,Delivered,TRK-CCC10029,WH-ICN01,인천공항물류센터,320.00,3000.00,120.00,Yes,No,No,No,
30,ORD-10030,C314,철강무역,Pohang,KR,Jakarta,ID,HMM,Sea,15000.0,68.00,Steel,15,2025-01-31,2025-02-03,2025-02-12,9,Delivered,TRK-DDD10030,WH-PUS01,부산항물류센터,3200.00,55000.00,820.00,No,No,No,No,
31,ORD-10031,C301,글로벌무역,Seoul,KR,Sydney,AU,Qantas_Freight,Air,55.0,0.45,Electronics,15,2025-02-01,2025-02-02,2025-02-05,3,Delivered,TRK-EEE10031,WH-ICN01,인천공항물류센터,1420.00,7000.00,450.00,Yes,No,No,No,
32,ORD-10032,C312,코스메틱월드,Seoul,KR,Jakarta,ID,Garuda_Cargo,Air,72.0,0.60,Cosmetics,250,2025-02-02,2025-02-03,2025-02-05,2,Delivered,TRK-FFF10032,WH-ICN01,인천공항물류센터,750.00,5500.00,300.00,Yes,No,No,No,
33,ORD-10033,C309,가구나라,Pocheon,KR,Dubai,AE,HMM,Sea,4500.0,45.00,Furniture,20,2025-02-03,2025-02-06,2025-02-22,16,Delivered,TRK-GGG10033,WH-PUS01,부산항물류센터,4100.00,22000.00,1050.00,Yes,No,No,No,
34,ORD-10034,C315,K뷰티,Seoul,KR,Tokyo,JP,ANA_Cargo,Air,35.0,0.28,Cosmetics,150,2025-02-04,2025-02-04,2025-02-05,1,Delivered,TRK-HHH10034,WH-ICN01,인천공항물류센터,420.00,3500.00,180.00,No,No,No,No,
35,ORD-10035,C318,배터리수출,Ochang,KR,Chicago,US,FedEx,Air,280.0,2.00,Battery,60,2025-02-05,2025-02-06,2025-02-09,3,Delivered,TRK-III10035,WH-ICN01,인천공항물류센터,2900.00,40000.00,650.00,No,Yes,Yes,No,
36,ORD-10036,C305,현대부품,Ulsan,KR,Nagoya,JP,Panstar,Sea,3800.0,20.00,Auto_Parts,120,2025-02-06,2025-02-08,2025-02-12,4,Delivered,TRK-JJJ10036,WH-ULS01,울산항물류센터,1800.00,18000.00,520.00,No,No,No,No,
37,ORD-10037,C316,전자부품,Gumi,KR,Penang,MY,Korean_Air_Cargo,Air,18.5,0.12,Electronics,35,2025-02-07,2025-02-08,2025-02-09,1,Delivered,TRK-KKK10037,WH-ICN01,인천공항물류센터,380.00,8000.00,150.00,Yes,No,No,No,
38,ORD-10038,C307,삼성바이오,Incheon,KR,Boston,US,Lufthansa_Cargo,Air,10.0,0.08,Pharmaceutical,6,2025-02-08,2025-02-08,2025-02-11,3,Delivered,TRK-LLL10038,WH-ICN02,인천바이오물류센터,2800.00,75000.00,480.00,Yes,No,Yes,No,
39,ORD-10039,C317,목재수출,Donghae,KR,Osaka,JP,Sinokor,Sea,5200.0,42.00,Timber,12,2025-02-09,2025-02-11,2025-02-15,4,Delivered,TRK-MMM10039,WH-PUS01,부산항물류센터,1500.00,8000.00,380.00,No,No,No,No,
40,ORD-10040,C302,한진상사,Busan,KR,Ho_Chi_Minh,VN,HMM,Sea,7200.0,38.00,Raw_Material,5,2025-02-10,2025-02-13,2025-02-20,7,Delivered,TRK-NNN10040,WH-PUS01,부산항물류센터,2600.00,22000.00,680.00,No,No,No,No,
41,ORD-10041,C310,반도체코리아,Pyeongtaek,KR,Dresden,DE,Lufthansa_Cargo,Air,7.5,0.05,Semiconductor,150,2025-02-11,2025-02-11,2025-02-14,3,Delivered,TRK-OOO10041,WH-ICN01,인천공항물류센터,720.00,95000.00,420.00,Yes,No,Yes,No,
42,ORD-10042,C304,농산물직거래,Gimpo,KR,Kuala_Lumpur,MY,AirAsia_Cargo,Air,220.0,2.00,Food,35,2025-02-12,2025-02-13,2025-02-14,1,Delivered,TRK-PPP10042,WH-GMP01,김포냉장물류센터,1800.00,5500.00,350.00,No,No,Yes,No,
43,ORD-10043,C306,패션코리아,Seoul,KR,New_York,US,DHL,Air,110.0,1.00,Textile,350,2025-02-13,2025-02-14,2025-02-17,3,Delivered,TRK-QQQ10043,WH-ICN01,인천공항물류센터,1900.00,11000.00,580.00,No,No,No,No,
44,ORD-10044,C308,화학소재,Yeosu,KR,Singapore,SG,PIL,Sea,6800.0,35.00,Chemical,6,2025-02-14,2025-02-17,2025-02-25,8,Delivered,TRK-RRR10044,WH-YOS01,여수항물류센터,3400.00,30000.00,1100.00,No,Yes,No,No,
45,ORD-10045,C313,의료기기수출,Wonju,KR,Manila,PH,Cebu_Pacific_Cargo,Air,25.0,0.18,Medical_Device,8,2025-02-15,2025-02-16,2025-02-17,1,Delivered,TRK-SSS10045,WH-ICN02,인천바이오물류센터,1200.00,20000.00,280.00,Yes,No,Yes,No,
46,ORD-10046,C314,철강무역,Pohang,KR,Chennai,IN,Evergreen,Sea,11000.0,50.00,Steel,12,2025-02-16,2025-02-19,2025-03-05,14,Delayed,TRK-TTT10046,WH-PUS01,부산항물류센터,3800.00,48000.00,1050.00,No,No,No,No,Customs_Delay
47,ORD-10047,C301,글로벌무역,Seoul,KR,Berlin,DE,UPS,Air,38.0,0.30,Electronics,10,2025-02-17,2025-02-18,2025-02-21,3,Delivered,TRK-UUU10047,WH-ICN01,인천공항물류센터,980.00,5500.00,350.00,Yes,No,No,No,
48,ORD-10048,C311,수산물수출,Busan,KR,Shanghai,CN,Sinokor,Sea,1800.0,10.00,Food,22,2025-02-18,2025-02-19,2025-02-22,3,Delivered,TRK-VVV10048,WH-PUS02,부산냉장물류센터,950.00,5000.00,280.00,No,No,Yes,No,
49,ORD-10049,C318,배터리수출,Ochang,KR,Stockholm,SE,SAS_Cargo,Air,380.0,2.50,Battery,80,2025-02-19,2025-02-20,2025-02-23,3,Delivered,TRK-WWW10049,WH-ICN01,인천공항물류센터,3500.00,52000.00,720.00,No,Yes,Yes,No,
50,ORD-10050,C309,가구나라,Pocheon,KR,Auckland,NZ,Hyundai_Merchant,Sea,2800.0,28.00,Furniture,10,2025-02-20,2025-02-23,2025-03-12,17,Delivered,TRK-XXX10050,WH-PUS01,부산항물류센터,3600.00,14000.00,780.00,Yes,No,No,No,
